playerId,name,status,tm_id,tm_name,score,fields,tm_url,expected_club,tm_club
351927,Diogo Casimiro,low_confidence,1463213.0,Diogo Casimiro,100.0,name,https://www.transfermarkt.com/diogo-casimiro/profil/spieler/1463213,Sporting Braga II,CD Almodôvar
351928,Pedro Pinho Marques,low_confidence,425371.0,Pedro Marques,96.7,"name,age±1",https://www.transfermarkt.com/pedro-marques/profil/spieler/425371,Amora,Retired
351935,José Pedro Ferreira Costa Leite,low_confidence,344541.0,Zé Pedro,46.7,"name,age±1",https://www.transfermarkt.com/ze-pedro/profil/spieler/344541,Sanjoanense,Without Club
351938,Vasco Reis Peixe Sanona Coelho,low_confidence,326738.0,Vasco Coelho,70.0,"name,age±1",https://www.transfermarkt.com/vasco-coelho/profil/spieler/326738,Anadia,Leça FC
358648,Flávio Silva,low_confidence,356450.0,Flávio Silva,100.0,name,https://www.transfermarkt.com/flavio-silva/profil/spieler/356450,Amora,Kaizer Chiefs
358659,Paulinho,low_confidence,57229.0,Paulinho,100.0,name,https://www.transfermarkt.com/paulinho/profil/spieler/57229,Felgueiras 1932,Retired
358667,Ibrahim Koneh,low_confidence,591020.0,Ibra Koneh,63.3,"name,age±1",https://www.transfermarkt.com/ibra-koneh/profil/spieler/591020,São João Ver,Without Club
358678,Ivo Alexandre  Pereira Braz,no_match,,,,,,,
358722,Tiago Luís  Caetano Pereira,no_match,,,,,,,
358734,João Paulo  Carvalho Pinto,no_match,,,,,,,
358744,Diogo Pereira,matched,1323420.0,Diogo Pereira,125.0,"name,club:Lusitania FC Lourosa",https://www.transfermarkt.com/diogo-pereira/profil/spieler/1323420,Lusitania FC Lourosa,Merelinense FC
358749,Assane Niasse Baldé,low_confidence,580795.0,Assane Baldé,96.7,"name,age±1",https://www.transfermarkt.com/assane-balde/profil/spieler/580795,Cova da Piedade,Without Club
358755,João Paulo Lázaro Lucas,matched,347905.0,João Lucas,155.0,"name,age±1,club:CF Os Belenenses",https://www.transfermarkt.com/joao-lucas/profil/spieler/347905,CF Os Belenenses,CF Os Belenenses
358758,Yannick Jorge  Tavares Medina,no_match,,,,,,,
358761,Rúben Filipe Almeida Fidalgo,low_confidence,585860.0,Rúben Fidalgo,80.0,"name,age±1",https://www.transfermarkt.com/ruben-fidalgo/profil/spieler/585860,Oriental Dragon,Retired
359542,João Guilherme Gonçalves de Sousa,low_confidence,351977.0,João Sousa,70.0,"name,age±1",https://www.transfermarkt.com/joao-sousa/profil/spieler/351977,Amora,Sport Arronches e Benfica
360552,Paulo Marcelo,low_confidence,442820.0,Paulo Marcelo,100.0,name,https://www.transfermarkt.com/paulo-marcelo/profil/spieler/442820,Atlético CP,EC XV de Piracicaba
360689,Victor Ribeiro,low_confidence,667174.0,Victor Ribeiro,100.0,name,https://www.transfermarkt.com/victor-ribeiro/profil/spieler/667174,União de Leiria,FC Triesenberg
363617,Matheus Clemente,low_confidence,631589.0,Matheus Clemente,100.0,name,https://www.transfermarkt.com/matheus-clemente/profil/spieler/631589,Felgueiras 1932,FC RFS
363944,Jeferson,low_confidence,123628.0,Jeferson,100.0,name,https://www.transfermarkt.com/jeferson/profil/spieler/123628,Amora,Retired
363983,Ronaldo Rodrigues,low_confidence,323938.0,Ronaldo Rodrigues,100.0,name,https://www.transfermarkt.com/ronaldo-rodrigues/profil/spieler/323938,Anadia,FC Imishli
364681,Geraldo Amâncio Matsimbe,low_confidence,357785.0,Geraldo,63.3,"name,age±1",https://www.transfermarkt.com/geraldo/profil/spieler/357785,Fafe,Juventude Évora SC
364683,João Tiago Oliveira da Cunha,low_confidence,353840.0,João Cunha,70.0,"name,age±1",https://www.transfermarkt.com/joao-cunha/profil/spieler/353840,Anadia,FC Tirsense
364684,Victor Emanuel Araújo Ferreira,low_confidence,350310.0,Vitó,80.0,"name,age±1,club:1º Dezembro",https://www.transfermarkt.com/vito/profil/spieler/350310,1º Dezembro,SU 1º Dezembro
364689,Onyekachi Eze Silas,low_confidence,356117.0,Onyekachi Silas,96.7,"name,age±1",https://www.transfermarkt.com/onyekachi-silas/profil/spieler/356117,Varzim,LGC Moncarapachense
364695,Bruno Miguel de Sousa Silva,matched,385794.0,Bruno Sousa,145.0,"name,age±1,club:AD Marco 09",https://www.transfermarkt.com/bruno-sousa/profil/spieler/385794,AD Marco 09,AD Marco 09
364708,Gildo Olímpio Sena Monteiro,low_confidence,514926.0,Júnior Sena,50.0,"name,age±1",https://www.transfermarkt.com/junior-sena/profil/spieler/514926,Real SC,Without Club
364744,Armando Miguel  Mota Silva,no_match,,,,,,,
364751,Jacob Olorunwa Adebanjo,low_confidence,470960.0,Jacob Adebanjo,96.7,"name,age±1",https://www.transfermarkt.com/jacob-adebanjo/profil/spieler/470960,Lusitania FC Lourosa,CF Os Marialvas
364753,Adewale Oluwafemi Sapara,no_match,,,,,,,
364763,Joel  Pires Quintas Neves,no_match,,,,,,,
364768,Joseph Amoah,matched,358719.0,Joseph Amoah,130.0,"name,age±1",https://www.transfermarkt.com/joseph-amoah/profil/spieler/358719,Fafe,FC Tirsense
365844,R. Ogawa,no_match,,,,,,,
369067,Chima Uche Akas,no_match,,,,,,,
